,Brand Name,Name of the Product,Rating,No. of Ratings,Price,Expected Delivery,Availability,Returns/Exchange,Other Details
39,Brand: PSB,PSB Guitar Toys for Kids 4-String Acoustic Guitar Musical Instrument Learning Toy for Kids ( 17 Inches ),,41 ratings,₹ 390.00,"FREE delivery: Saturday, April 24 Details",In stock.,7 Days Returnable,"About this item
It is fully functional Guitar with all the tuning keys and playable.
This guitar toys has fine sound and wooden finishing.
it is made up of plastic and is for playing and learning.
Helps kids have fun and stimulate and develop their talent and interest.
This acoustic guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance.
› See more product details"
40,Visit the JUAREZ Store,"Juârez JRZ38C/MAH 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Mahogany with Bag, Strings, Picks and Strap",,146 ratings,"₹ 2,495.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks
Great looks with an innovative design to produce good quality sound
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks"
41,Visit the JUAREZ Store,"JUAREZ 38 Inch Acoustic Guitar with Dual Action Truss Rod, Bag, Picks, Allen Key, Extra String Set, Natural",,15 ratings,"₹ 3,179.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Glossy finish, Number of frets - 18, 38 Inch Acoustic Guitar with Dual Action Truss Rod which gives you the liberty to adjust the action of your neck in either direction if warped
Material : Top, Back, Sides & Neck - Linden Solid Wood, Fretboard & Bridge - ABS, Machine Head : Chrome Open, Stainless Steel Copper Wound Strings
Linden binding and full wood construction with geared tuning, wooden frame and steel strings. Features a sturdy top with smooth curves, promoting comfort during playing. This solid wood produces a smooth and rich sound ideal for rock, folk, country, and every genre in between
Loosening a truss rod (turning counter-clockwise) adds relief to (decreases tension on) the neck which results in increased (higher) string action height. This reduces relief, lowering the string action (height of the strings over the frets). Turn the nut clockwise to tighten the rod
Included components: Acoustic Guitar with Strap, Bag, Strings, Truss Rod Wrench/Allen Key and 2 Plectrums"
42,Brand: Divinext,Divinext Audio Interface AMP Guitar Effects Pedal for iPhone/iPad,,92 ratings,₹ 749.00,"FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement Only,"Guitar adapter is a combination of an easy-to-use instrument interface adapter and guitar and bass tone mobile software
Download the AmpliTube app from the iTunes App Store.2. Plug the adapter into the headphone jack of your iPhone, iPod and iPad.3. Plug your guitar or bass into the adapter 1/4 jack.4. Plug your headphones or external speakers into the adapter headphone jack.5. Now launch AmpliTube and start rocking
Also works with line level signals from synthesizers, keyboards, mixers
Output can be connected to headphones, amplifiers, powered speakers, mixers
Size: 7 x 2 x 2 cm, Color: Black, Package includes: 1 x guitar interface adapter
› See more product details"
43,Brand: DEVICE OF URBAN INFOTECH,DEVICE OF URBAN INFOTECH Acoustic Guitar String Full Set of Extra Light Special Acoustic Guitar Strings Stainless Steel E-1st B-2nd G-3rd D-4th A-5th E-6th Set of 6 Guitar String (6 Strings),-,-,₹ 399.00,₹ 49.00 delivery: April 29 - May 4 Details,In stock.,7 Days Replacement,"Plain acoustic guitar strings for routine string changes or replacing broken strings
Made of stainless steel with silver-plated copper alloy winding for a bright yet warm extended tone; nickel-plated ball end
Popular roundwound style for a traditional feel with a ridged texture; delivers a brighter tone, longer sustain, and better grip for finger picking and bending
Created using automatic winding machines to ensure consistent quality and dependable performance
Measures 4.3 by 0.4 by 4.3 inches
› See more product details"
44,Brand: Belear,"Belear I-280-CBL Couturier 38 Inch Blue Cutaway Acoustic Guitar With Bag, String,Strap and Picks",-,-,"₹ 2,599.00",FREE delivery: April 26 - 27 Details,In stock.,7 Days Replacement,"Premium 38 Inch single cutaway acoustic guitar.
Top, back, and sides are made from Carbon fiber.
Catalpa neck with Rosewood fretboard.
Carbon fiber is famous for resonant, tough, and resistant to temperature and humidity changes.
Full scale length with easy access to the upper frets.
Ultimate versatile guitar is suitable for both experts and beginners.
Blue color with matte finishing.
Skilfully craftsmanship and the innovative design of the highest quality.
› See more product details"
45,Brand: Medellin,Medellin Linden Wood Acoustic Guitar(Sunburst),-,-,"₹ 2,799.00","FREE delivery: Friday, April 23 Details
Fastest delivery: Wednesday, April 21
Order within 2 hrs and 12 mins Details",Only 1 left in stock.,7 Days Replacement,"Colour: Sunburst
Material: Linden Wood
Easy To Use
› See more product details"
46,Visit the JUAREZ Store,"JUAREZ 41 INCH GUITAR JRZ41VG/BK, BLACK",,3 ratings,"₹ 3,329.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
JUAREZ 41 INCH GUITAR JRZ41VG/BK, BLACK"
47,Visit the Intern Store,"Intern INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Natural",,422 ratings,"₹ 2,228.00","FREE delivery: Thursday, April 22 Details",In stock.,7 Days Replacement,"About this item
Great looks with an innovative design to produce good quality sound
Material: Linden wood finger board with ebony wood fretboard and 38-inch cutaway design
Natural glossy finish with 18 frets
Includes: 38-inch acoustic guitar with strap, bag, string set and 3 picks
Linden binding and full wood construction with geared tuning, wood frame and steel strings"
48,Brand: Creative Hub,Creative Hub | 4 String Guitar Children's Musical Instrument Educational Toy Guitar Ukulele Instruments Beginner Musical Sound Toys Best Gift for Children,-,-,₹ 899.00,"FREE delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"PROVIDES SCREEN FREE FUN: A junior scale 4 string guitar perfect for use on lessons, recitals, band rehearsals, on-stage performances or when practicing at home. The mini guitar can attract the interests of kids, and reduce their dependency on the phone, computer, or other electronics.
GREAT FOR BEGINNERS: It has a traditional classic body style great for beginners and children learning to play guitar. Give your best performance whether you're in the music studio or out at a bonfire with friends. Take your music with you.
ENJOY MUSIC ANYTIME: Helps kids have fun and stimulate and develop their talent & interest. This guitar is 24 inches in length.; Please Note: This is an assortment pack, so accessories and design may vary
This Acoustic Guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar, just a toy for Children.Recommended for ages above 6 years.This guitar has good sound quality & good wooden finishing.It is made up of good quality plastic & is good for playing and learning.
A PERFECT GIFT: Helps kids have fun and stimulate and develop their talent & interest. This guitar is 24 inches in length.; Please Note: This is an assortment pack, so accessories and design may vary
› See more product details"
49,Brand: CBOX,CBOX 4 String Guitar Children's Musical Instrument Educational Toy Guitar Ukulele Instruments Beginner Musical Sound Toys Best Gift for Children(Multi-Color),-,-,₹ 829.00,"FREE delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"Very Crisp and Clear Sound of Strings
It is fully Functional With All The tuning keys and playable. This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes.
The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar
Helps kids have fun and stimulate and develop their talent & interest.This Guitar Is 24 Inches In Length.
No batteries required, this is an unlimited fun toy for kids.
› See more product details"
50,Brand: DIKUJI ENTERPRISE,DIKUJI ENTERPRISE Classical Series Guitar Musical Instrument for Beginners Kids (Small),-,-,₹ 449.00,"FREE delivery: Sunday, April 25 Details",In stock.,7 Days Replacement,"It improve kids musical skills. Please check sold by Toyvilla
It helps to increase intellectual development for kids.
This Guitar Toy is good for Kids only, made of nontoxic ABS Plastic, with wooden finishing.
› See more product details"
51,Brand: QITIS,QITIS Guitar 4-String Acoustic Guitar Musical Instrument for Learning (23 Inches)Brown,-,-,₹ 949.00,"FREE delivery: Saturday, April 24 Details",In stock.,7 Days Returnable,"About this item
Very Crisp and Clear Sound of Strings
4 String which are tune-able. A very good toy for kids who are willing to learn guitar.
The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar
The size of the guitar:
No batteries required, this is an unlimited fun toy for kids.
› See more product details"
52,Brand: Generic,"41""das musical acoustic venus guitar. cover, string, belt, 2plectrums.",,28 ratings,"₹ 3,490.00",FREE delivery: April 24 - 25 Details,In stock.,7 Days Replacement,"high glossy sky &back black
truss rod &with touch amplifier
41"" acoustic guitar
› See more product details"
53,Visit the blueberry Store,"Blueberry 38C IN Trussrod Acoustic Guitar Kit with Bag,Belt & Picks (Sunburst)",,2 ratings,"₹ 2,895.00",FREE delivery,In stock.,7 Days Replacement,"Material: Top: Spruce wood, Side & Back: - linden wood, Fingerboard:- Rosewood Wood
Bridge：Rosewood, Neck: Catalpa wood, Machine head: Chrome die cast, Finish: Mat Finish
Truss Rod for better adjustment of Guitar Action , Size 38-inch,Style - Cut-way, innovative design to produce good quality sound
Includes: 38"", Acoustic guitar , bag, and 2 picks
Note: Product design may slightly vary Due to Photography lighting effect
› See more product details"
54,Brand: Belear,Belear I-280-CTBS Couturier 38 Inch Tobacco Brown Sunburst Cutaway Acoustic Guitar With Bag and Picks,-,-,"₹ 2,599.00",FREE delivery: April 26 - 27 Details,In stock.,7 Days Replacement,"Premium 38 Inch single cutaway acoustic guitar.
Top, back, and sides are made from Carbon fiber
Catalpa neck with Rosewood fretboard.
Carbon fiber is famous for resonant, tough, and resistant to temperature and humidity changes.
Full scale length with easy access to the upper frets.
Ultimate versatile guitar is suitable for both experts and beginners.
Tobacco Brown Sunburst color with matte finishing.
Skilfully craftsmanship and the innovative design of the highest quality.
› See more product details"
55,Brand: Generic,Sona Music place Guitar Indian With Truss Rod,-,-,-,-,Available from these sellers.,7 Days Replacement,"Scale Size(In Inchces):45
Fretboard Material:Rosewood
Bridge Material:Rosewood
Body material:Spruce Wood
› See more product details"
56,Brand: HRB MUSICALS,HRB MUSICALS GUITAR FLOOR STAND +GUITAR CAPO + ALICE STRING SET + AND GUITAR STRING WINDER,,4 ratings,₹ 629.00,"FREE delivery: Wednesday, April 28 Details",In stock.,7 Days Replacement,"For guitar floor stand its solid body ,string set, capo, string winder Its Fits Perfectly on Electric and Acoustic Guitars, Ukulele, Banjo, Bass, Folk Guitars and Mandolin EASY TO MOVE & USE - Super Fast to Change Between Frets. Quickly and Easily Releases and Repositions With One Hand Without Disturbing Tuning NO SCRATCHES OR FRET BUZZ- High Quality Silicone Pad Will Protect Your Instrument Against Damage. Steel Spring with Internal Memory. It Puts Just Enough Pressure on the Instrument
› See more product details"
57,Brand: DEVICE OF URBAN INFOTECH,DEVICE OF URBAN INFOTECH Tuning Peg Silver for Acoustic Guitar Parts Tuners Keys Semi-closed Guitar String Tuning Pegs Tuner Machine Heads Knobs Tuning Keys for Acoustic & Electric Guitar 3R+3L(6 PCS),,3 ratings,₹ 499.00,FREE delivery,In stock.,7 Days Replacement,"Package Includes: 6 X Machine heads(3L + 3R),12 X Mounting screws ,6 X Ferrules
Materials: chrome finish zinc alloy metal, plastic
6 Pieces Guitar Keys for Acoustic Guitar Chrome Tuning Pegs Keys 3 Left 3 Right6 Pieces Guitar Keys for Acoustic Guitar Chrome Tuning Pegs Keys 3 Left 3 Right
Adjustable - Guitar machine heads knobs with heavy duty internal gear can be tuned tight to make your guitar sound stable
› See more product details"
58,Brand: DEVICE OF URBAN INFOTECH,DEVICE OF URBAN INFOTECH Tuning Peg Silver for Acoustic Guitar Parts Tuners Keys Semi-closed Guitar String Tuning Pegs Tuner Machine Heads Knobs Tuning Keys for Acoustic & Electric Guitar 3R+3L (6PCS),-,-,₹ 499.00,FREE delivery,In stock.,7 Days Replacement,"Package Includes: 6 X Machine heads(3L + 3R),12 X Mounting screws ,6 X Ferrules
Materials: chrome finish zinc alloy metal, plastic
6 Pieces Guitar Keys for Acoustic Guitar Chrome Tuning Pegs Keys 3 Left 3 Right6 Pieces Guitar Keys for Acoustic Guitar Chrome Tuning Pegs Keys 3 Left 3 Right
Adjustable - Guitar machine heads knobs with heavy duty internal gear can be tuned tight to make your guitar sound stable
› See more product details"
59,Visit the Kadence Store,"Kadence Frontier Jumbo Semi Acoustic Guitar With Die Cast Keys,Super Combo (Bag, 1 pack Strings, Strap, Picks, Capo, Tuner (black & stand)",,378 ratings,"₹ 5,999.00","FREE delivery: Friday, April 23 Details
Fastest delivery: Wednesday, April 21
Order within 2 hrs and 8 mins Details",In stock.,7 Days Replacement,"QUALITY STRINGS ---The surface is coated with a film coating, which is not easy to rust, which prolongs the use time of the strings and reduces the burden on the fingers when pressing the strings.
DESIGN --- Simple head design, streamlined curvature makes the head and the body integrated, beautiful. The rosewood bridge has high hardness, strong vibration conductivity, stable and rich tone transmission.
SIZE (41 inch)---Suitable for the guitarist over 14 years old, especially the beginners, students or adults.
ADJUSTABLE ACTION----Built-in truss rod can balanced the tension caused by strings or temperature change shrinking, for a straight and durable neck. The adjustable acoustic guitar neck allows your hand to stay in a comfortable position by keeping the strings in a perfect height.
Package Details:1 pack of Strings, picks, turner, foldable guitar stand, bag, strap and capo
ELECTRO-ACOUSTIC---Built-in preamp for amplified use with volume control, 4 band EQ: bass and treble, integrated tuner for fast and easy tuning.
› See more product details"
60,Visit the Kadence Store,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo and Fibre guitar stand (Black Spruce Wood)",,100 ratings,"₹ 10,999.00","FREE delivery: Friday, April 23 Details",Only 1 left in stock.,7 Days Replacement,"QUALITY STRINGS ---The surface is coated with a film coating, which is not easy to rust, which prolongs the use time of the strings and reduces the burden on the fingers when pressing the strings.
DESIGN --- The Deep Pore paint finish, Simple head design, streamlined curvature makes the head and the body integrated, beautiful. The rosewood bridge has high hardness, strong vibration conductivity, stable and rich tone transmission.
SIZE (41 inch)---Suitable for the guitarist over 14 years old, especially the beginners, students or adults.
ADJUSTABLE ACTION----Built-in truss rod can balanced the tension caused by strings or temperature change shrinking, for a straight and durable neck. The adjustable acoustic guitar neck allows your hand to stay in a comfortable position by keeping the strings in a perfect height.
With Combo, Heavy Padded Bag, Pro Capo and Fiber Body Stand
ALL ACCESSORIES INCLUDED---Kadence Slowhand Guitar comes with zipped padded bag, in-built tunner, adjustable guitar strap, extra strings, 3 guitar picks, capo, foldable guitar stand and a Guitar cable.
PROTECTIVE PADDED bag---Take your guitar with you to school or on trips with a stylish and protective carrying case, designed with foam pads, a shock-proof rubber bottom, and even a front storage for your capo and extra picks
› See more product details"
61,Visit the Guitar Bro Store,"GUITAR BRO - COMBO (Black Acoustic Guitar for Beginner, Guitar Learning Kit, Song Book, Video Lectures, Accessories like Pick, Bag)",,18 ratings,"₹ 6,499.00","FREE delivery: May 6 - 10 Details
Fastest delivery: May 5 - 8 Details",In stock.,7 Days Replacement,"GUITAR BRO +20 mins FREE VIDEO Demo - is a learning kit which includes proprietary gadget, video lectures & songbook
LIDEN WOOD GUITAR - A 39-inch acoustic guitar for beginners. With warm sound and quality strings, guitar picks and accessories, this is suitable for learners
COMPATIBLE AND EASY TO FIT - Learning kit can be used for standard size 38-inch guitars, 39-inch guitars both acoustic and semi-acoustic. It is only for Right Handed players and compatible with an acoustic guitar for men, women, kids above 10 years or adults who need self-learning methods. It does not work on nylon string guitars but only on acoustic guitar strings made of steel.
SELF LEARNING KIT - Learn Guitar At Home, At Your Own Time. Learn chords and play songs.
WHAT DO YOU LEARN - The online guitar course will teach you from very basic things like how to hold a guitar, How to tune a guitar without using a tuner, How to use a metronome, how to install the Guitar Bro Tool to advance things like strumming and chords.
› See more product details"
62,Visit the Guitar Bro Store,"GUITAR BRO - Guitar Learning Combo (30 Day Learning Kit + 4 Live 1-on-1 Classes (each class is 20 mins, Access Key Inside the Kit), Acoustic Guitars Accessories, Picks, Songbook, Videos)",,6 ratings,"₹ 2,499.00","FREE delivery: Wednesday, May 5 Details",In stock.,7 Days Replacement,"30 Day Learning Kit
Acoustic Guitars Accessories, Picks, Songbook, Videos
Each class is 20 mins
› See more product details"
63,Brand: Generic,Sona Music place Guitar Indian With Truss Rod,-,-,-,-,-,7 Days Replacement,"Scale Size(In Inchces):45
Fretboard Material:Rosewood
Bridge Material:Rosewood
Body material:Spruce Wood
› See more product details"
64,Visit the JUAREZ Store,"Juarez JRZ-ST01, 6 Strings Electric Guitar, Right Handed with Bag/Case, 2 x Picks (3TS Sunburst)",,156 ratings,"₹ 5,523.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks
Great looks with an innovative design to produce good quality sound
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings"
65,Brand: HOVNER,"Hovner Venus Red 6-Strimg Cut-A-Way Right Hand Acoustic Semi-Electric Guitar With Bag and Free 1 set String, 2 picks.",-,-,"₹ 3,499.00","FREE delivery: Saturday, April 24 Details",Only 1 left in stock.,7 Days Replacement,"41 inch Cut-A-Way Acoustic Guitar, Fret board: Rose Wood, String : Steel
Great looks with an innovative design to produce good quality sound
Adjustable bridge and reinforced Truss Rod
Inbuilt pick up to plug and play with amplifier, Bag,Strap,1 Set of Extra Strings and 2 Picks included
› See more product details"
66,Brand: JUAREZ,"JUAREZ Arpeggio 41 Inch Acoustic Guitar Kit, Spruce Top, Rosewood Fretboard & Bridge, Truss Rod, Chrome Die Cast Machine Tuners, Red",,4 ratings,"₹ 5,436.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Juarez Arpeggio 41 Inch Acoustic Guitar Kit, Spruce Top, Rosewood Fretboard & Bridge, Truss Rod, Chrome Die Cast Machine Tuners, Red"
67,Brand: CLOVVA,"CLOVVA 4-String Acoustic Guitar Learning Kids Toy, Brown-18"" | Musical Instrument Educational Toy Guitar |",-,-,₹ 779.00,"FREE delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"✔ Very Crisp and Clear Sound of Strings.
✔ This guitar has good sound quality & good wooden finishing.It is made up of good quality plastic & is good for playing and learning.
✔ It is fully Functional With All The tuning keys and playable. This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes.
✔ Helps kids have fun and stimulate and develop their talent & interest.This Guitar Is 24 Inches In Length.
✔ This Acoustic Guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar, just a toy for Children.Recommended for ages above 6 years.
› See more product details"
68,Brand: V A,"VARNI Guitar 4-String Guitar Musical Instrument For Learning, Musical Acoustic Guitar Toy With Brown Color Best Gift For Boys & Girls guitar toys for kids Musical Instrument Learning (23 Inches) brown",-,-,₹ 738.00,"₹ 60.00 delivery: Sunday, April 25 Details",In stock.,7 Days Replacement,"The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar
4 String which are tune-able. A very good toy for kids who are willing to learn guitar.
The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar
This Acoustic Guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar, just a toy for Children. Recommended for ages above 6 years.
No batteries required, this is an unlimited fun toy for kids.
› See more product details"
69,Brand: JUAREZ,"JUAREZ Arpeggio 39 Inch Acoustic Guitar Kit, Spruce Top, Rosewood Fretboard & Bridge, Truss Rod, Chrome Die Cast Machine Tuners, Blue Sunburst",,2 ratings,"₹ 4,484.00","FREE delivery: Thursday, April 22 Details
Fastest delivery: Tomorrow
Order within 46 mins Details",In stock.,7 Days Replacement,"About this item
Juarez Arpeggio 39 Inch Acoustic Guitar Kit, Spruce Top, Rosewood Fretboard & Bridge, Truss Rod, Chrome Die Cast Machine Tuners, Blue Sunburst"
70,Brand: Belear,"Belear I-370 38 Inch Red Spruce Cutaway Acoustic Guitar with Truss Rod With Bag, String, Strap and Picks",-,-,"₹ 3,599.00",FREE delivery: April 26 - 27 Details,In stock.,7 Days Replacement,"Premium single-cutaway design for playing convenience.
Solid Spruce top provides an ideal balance and between strength and flexibility.
Linden back & sides produces rich, warm lows and sweet sustain.
Catalpa neck, Rosewood fretboard with truss rod.
Offers bright, responsive & balanced tone.
Comfortable playability for beginners.
Red colour with Matte finishing.
Skilfully craftsmanship and the innovative design of the highest quality.
› See more product details"
71,Brand: SAAN Life Science,SAAN Life Science 4-string Small Acoustic Guitar Musical Instrument Educational Learning kids Toy for Beginners - 23Inch,,2 ratings,₹ 849.00,"FREE delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"4 String which are tune-able. A very good toy for kids who are willing to learn guitar.
The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar
This acoustic guitar makes a great gift for kids lightweight, easy to holdand has a nice appearance this is not a professionally manufactured guitar, just a toy for children recommended for ages above 6 years
The size of the guitar: 23inch
Made from high quality abs materials, non-toxic paints, safer for children
› See more product details"
72,Brand: Jixing,JIXING SUNBURST ACOUSTIC GUITAR WITH COMBO,,82 ratings,"₹ 2,799.00","FREE delivery: Friday, April 23 Details
Fastest delivery: Wednesday, April 21
Order within 2 hrs and 5 mins Details",In stock.,7 Days Replacement,"About this item
Brand: Jixing .Type: Acoustic Guitars-Basic
.Size: 38 inches
.Neck Material: Linden Wood.Bridge Material:Plastic .Finger Board: Linden Wood .String: Stainless Steel
.Back Material:Linden Wood.Sides Material:Linden .Body Type:Linden Wood .Body Material:Linden Wood
.No.of Frets:18"
73,Visit the JUAREZ Store,"Juârez JRZ38C/ZEB 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Zebrawood with Bag, Strings, Picks and Strap",,60 ratings,"₹ 2,495.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks
Great looks with an innovative design to produce good quality sound
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks"
74,Visit the JUAREZ Store,"JUAREZ Fiésta 41 Inch Acoustic Guitar Cutaway with Dual Action Truss Rod, 21 Frets Rosewood Fretboard & Bridge, Padded 5mm Cotton Bag, Cotton Strap, 2 Picks, Allen Key, Extra String Set, 3TS Sunburst",,7 ratings,"₹ 3,808.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Glossy finish, Number of frets - 21, 41 Inch Acoustic Guitar with Dual Action Truss Rod which gives you the liberty to adjust the action of your neck in either direction if warped.
Material : Top, Back, Sides - Linden Solid Wood, Neck - Catalpa, Fretboard & Bridge - Rosewood, Machine Head : Chrome Open, Stainless Steel Copper Wound Strings
Linden binding and full wood construction with geared tuning, wooden frame and Alice Brand Stainless steel copper alloy strings. Features a sturdy top with smooth curves, promoting comfort during playing. This solid wood produces a smooth and rich sound ideal for rock, folk, country, and every genre in between!
Loosening a truss rod (turning counter-clockwise) adds relief to (decreases tension on) the neck which results in increased (higher) string action height. This reduces relief, lowering the string action (height of the strings over the frets). Turn the nut clockwise to tighten the rod.
6 Stainless Steel Alice Brand strings especially for beginners. Wound strings are made of copper alloy. Stainless steel plain string, steel core, copper alloy winding, anti-rust coating. (Additional Free Strings are NOT ALICE Brand, Strings on the Guitar are Alice Strings)
Heavy Duty 5mm Cotton Padded Guitar Bag and Premium Cotton Guitar Strap provided along with your Juarez Fiésta 41 Inch Acoustic Guitar
Included components: Acoustic Guitar with Strap, Bag, Strings, Truss Rod Wrench/Allen Key and 2 Plectrums"
75,Brand: J D M,J D M Guitar Children's Musical Instrument Educational Toy Small Guitar for Beginners Kids Child,-,-,₹ 799.00,"₹ 60.00 delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"This guitar has good sound quality & good wooden finishing.It is made up of good quality plastic & is good for playing and learning.
uning Knobs for Intellectual Development and also to develop talent and interest in kids.
on-stage performances or when practicing at home. The mini guitar can attract the interests of kids, and reduce their dependency on the phone, computer, or other electronics. color in its Plastic body.This acoustic guitar makes a great gift for kids and is a great value for the money.
t has a traditional classic body style great for beginners and children learning to play guitar. Give your best performance whether you're in the
great gift for kids. Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar, just a toy for Children.
› See more product details"
76,Brand: HOVNER,"Hovner Luna Rosewood Fretboard Blue Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks (Blue)",-,-,"₹ 3,980.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"Great Sound ! Export Quality Guitar, Material: Rose Wood, String : Steel
Great looks with an innovative design to produce good quality sound
Adjustable bridge and reinforced Truss Rod with Volume and Tone Knobs.
Quick plug and play with amplifier, Bag,Strap,1 Set of Extra Strings and 2 Picks included
100% Genuine Product Sold and Fulfilled by K-Retail
› See more product details"
77,Brand: ITAPALJI,ITAPALJI 22 inches 4 String Wooden Finish Acoustic Musical Guitar with Adjustable Tuning Knobs | Classical Guitar Toy | Musical Instrument Learning Toy for Kids,-,-,₹ 749.00,"FREE delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"🔊This guitar has good sound quality & good wooden finishing.It is made up of good quality plastic & is good for playing and learning.
🔊It is fully Functional With All The tuning keys and playable. This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes.
🔊Helps kids have fun and stimulate and develop their talent & interest.This Guitar Is 24 Inches In Length.
🔊This Acoustic Guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar, just a toy for Children.Recommended for ages above 6 years
🔊Can be use daily, Good for gift, Nice looking
› See more product details"
78,Brand: verior,verior | worlds guitar toys for kids with microphone(Multi color),-,-,₹ 530.00,"FREE delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"3 aa batteries required not included
Includes melodies, pre-loading tunes, lightning effect and with microphone(mic)
Beautiful melody sing along battery operated toy guitar
Design and color as per availability
› See more product details"
79,Brand: SPA,Green : Aroma AHF-03 Portable Guitar Bass Piano Hand and Finger Exerciser Medium Tension Hand Grip Trainer,-,-,₹ 699.00,FREE delivery: April 23 - 24 Details,In stock.,7 Days Replacement,
80,Brand: Wytino,"Guitar Pick Box, Pure Natural Wood Durable to Guarantee Pick Box Set, Music Lovers for Home Christmas Gifts Guitar Accessories",-,-,"₹ 3,599.00",FREE delivery: May 14 - 18 Details,Usually dispatched in 3 to 4 days.,7 Days Replacement,"This wooden storage box is easy to store and carry picks, which can prevent the pick from dust, press and lost
Using pure natural wood, no toxic or harm to human body, durable to guarantee a long service life
Have strong abrasion resistance, using advanced technology to bring exquisite workmanship
Made of high quality wood material, sturdy and firm with fine smooth surface
A perfect guitar music gift for guitarists or music lovers contain 6 guitar picks and 1 storage box
Warranty not applicable for this product
› See more product details"
81,Brand: LME,"Laxmi Musical Electronics - Acoustic Pickup for veena, Violin, Guitar and All Acoustic String Instruments",,2 ratings,₹ 599.00,"FREE delivery: Thursday, April 22 Details",In stock.,7 Days Replacement,"Turn your acoustic guitar into an acoustic-electric without expensive modifications
Easy to install: can be clip-on to guitar sound hole and connect the audio input with a standard 1/4"" connector. Clip On Guitar Pickup installation: clamped to the sound hole in parallel with the wire.
will turn your acoustic music more powerful and electric
Suitable for acoustic guitar length: 36 inch - 41 inch Suitable for acoustic guitar length: 36 inch - 41 inch Durable, Flexible and Easy To Play
Made Of Alloy And Copper Material. Captures mechanical vibrations and converts them to an electrical signal which can then be amplified, recorded, or broadcast.
› See more product details"
